날짜,시간대,따릉이대여건수,지하철승차인원,기온(°C),요일,요일명,주말여부,공휴일여부
2025-03-01,06-07,787,55215.0,3.4,5,토,True,True
2025-03-01,07-08,1353,74607.0,3.6,5,토,True,True
2025-03-01,08-09,2022,122709.0,4.1,5,토,True,True
2025-03-01,09-10,2921,169922.0,5.6,5,토,True,True
2025-03-01,10-11,3268,193362.0,6.6,5,토,True,True
2025-03-01,11-12,3830,227512.0,9.3,5,토,True,True
2025-03-01,12-13,4450,262496.0,12.2,5,토,True,True
2025-03-01,13-14,4685,279811.0,12.8,5,토,True,True
2025-03-01,14-15,2661,320777.0,12.2,5,토,True,True
2025-03-01,15-16,1601,315072.0,11.4,5,토,True,True
2025-03-01,16-17,3249,315615.0,12.2,5,토,True,True
2025-03-01,17-18,4017,314313.0,12.5,5,토,True,True
2025-03-01,18-19,3719,261479.0,12.3,5,토,True,True
2025-03-01,19-20,3126,204292.0,11.3,5,토,True,True
2025-03-01,20-21,2980,192199.0,10.2,5,토,True,True
2025-03-01,21-22,2860,171473.0,9.5,5,토,True,True
2025-03-01,22-23,2568,137690.0,9.1,5,토,True,True
2025-03-01,23-24,2032,59972.0,9.4,5,토,True,True
2025-03-02,06-07,658,39929.0,8.5,6,일,True,False
2025-03-02,07-08,1057,55264.0,8.4,6,일,True,False
2025-03-02,08-09,1756,94902.0,8.6,6,일,True,False
2025-03-02,09-10,2420,135298.0,9.0,6,일,True,False
2025-03-02,10-11,2981,153211.0,10.4,6,일,True,False
2025-03-02,11-12,3426,160785.0,11.7,6,일,True,False
2025-03-02,12-13,3947,188966.0,13.6,6,일,True,False
2025-03-02,13-14,4500,205275.0,15.3,6,일,True,False
2025-03-02,14-15,3417,220370.0,14.6,6,일,True,False
2025-03-02,15-16,1091,221782.0,13.5,6,일,True,False
2025-03-02,16-17,290,228453.0,10.3,6,일,True,False
2025-03-02,17-18,211,210698.0,7.9,6,일,True,False
2025-03-02,18-19,140,183935.0,7.1,6,일,True,False
2025-03-02,19-20,122,149501.0,5.8,6,일,True,False
2025-03-02,20-21,224,141203.0,4.8,6,일,True,False
2025-03-02,21-22,203,128652.0,4.2,6,일,True,False
2025-03-02,22-23,201,101413.0,3.6,6,일,True,False
2025-03-02,23-24,79,44551.0,3.1,6,일,True,False
2025-03-03,06-07,222,46876.0,1.2,0,월,False,True
2025-03-03,07-08,484,65167.0,1.1,0,월,False,True
2025-03-03,08-09,1059,98797.0,1.8,0,월,False,True
2025-03-03,09-10,1614,124960.0,2.6,0,월,False,True
2025-03-03,10-11,2172,139822.0,3.2,0,월,False,True
2025-03-03,11-12,2822,162878.0,4.7,0,월,False,True
2025-03-03,12-13,3238,179990.0,6.3,0,월,False,True
2025-03-03,13-14,3776,190606.0,6.9,0,월,False,True
2025-03-03,14-15,4257,197760.0,6.8,0,월,False,True
2025-03-03,15-16,4250,216001.0,6.6,0,월,False,True
2025-03-03,16-17,4387,236552.0,5.6,0,월,False,True
2025-03-03,17-18,3976,217859.0,4.7,0,월,False,True
2025-03-03,18-19,3447,194813.0,3.6,0,월,False,True
2025-03-03,19-20,2455,161161.0,2.7,0,월,False,True
2025-03-03,20-21,2125,146762.0,2.0,0,월,False,True
2025-03-03,21-22,1904,124241.0,1.6,0,월,False,True
2025-03-03,22-23,1530,91038.0,1.4,0,월,False,True
2025-03-03,23-24,1122,34617.0,1.2,0,월,False,True
2025-03-04,06-07,2248,150212.0,2.0,1,화,False,False
2025-03-04,07-08,5200,417451.0,2.2,1,화,False,False
2025-03-04,08-09,7462,493091.0,2.4,1,화,False,False
2025-03-04,09-10,1820,284099.0,2.8,1,화,False,False
2025-03-04,10-11,431,188504.0,1.1,1,화,False,False
2025-03-04,11-12,417,179285.0,1.0,1,화,False,False
2025-03-04,12-13,455,192800.0,1.1,1,화,False,False
2025-03-04,13-14,434,193980.0,1.6,1,화,False,False
2025-03-04,14-15,845,203131.0,2.3,1,화,False,False
2025-03-04,15-16,960,237992.0,2.4,1,화,False,False
2025-03-04,16-17,2032,284208.0,2.6,1,화,False,False
2025-03-04,17-18,4322,424655.0,3.2,1,화,False,False
2025-03-04,18-19,6713,585302.0,3.3,1,화,False,False
2025-03-04,19-20,4194,297486.0,3.1,1,화,False,False
2025-03-04,20-21,3414,220557.0,3.3,1,화,False,False
2025-03-04,21-22,3196,190457.0,3.4,1,화,False,False
2025-03-04,22-23,2621,138220.0,3.4,1,화,False,False
2025-03-04,23-24,1538,53808.0,3.4,1,화,False,False
2025-03-05,06-07,2424,149533.0,2.4,2,수,False,False
2025-03-05,07-08,6275,428937.0,2.4,2,수,False,False
2025-03-05,08-09,9070,507203.0,2.6,2,수,False,False
2025-03-05,09-10,3822,287635.0,3.2,2,수,False,False
2025-03-05,10-11,2740,191093.0,4.1,2,수,False,False
2025-03-05,11-12,3098,185533.0,5.2,2,수,False,False
2025-03-05,12-13,3188,198243.0,5.8,2,수,False,False
2025-03-05,13-14,3175,209045.0,6.2,2,수,False,False
2025-03-05,14-15,3512,219880.0,7.3,2,수,False,False
2025-03-05,15-16,4260,263325.0,8.1,2,수,False,False
2025-03-05,16-17,5378,314091.0,8.8,2,수,False,False
2025-03-05,17-18,7925,458178.0,8.9,2,수,False,False
2025-03-05,18-19,10151,605070.0,7.8,2,수,False,False
2025-03-05,19-20,6146,306520.0,6.6,2,수,False,False
2025-03-05,20-21,4656,233961.0,5.8,2,수,False,False
2025-03-05,21-22,4137,211566.0,5.2,2,수,False,False
2025-03-05,22-23,3311,157218.0,4.5,2,수,False,False
2025-03-05,23-24,1841,64230.0,4.0,2,수,False,False
2025-03-06,06-07,2519,148920.0,0.3,3,목,False,False
2025-03-06,07-08,6654,429875.0,-0.3,3,목,False,False
2025-03-06,08-09,9641,511874.0,0.1,3,목,False,False
2025-03-06,09-10,4456,290966.0,2.1,3,목,False,False
2025-03-06,10-11,3119,195921.0,4.3,3,목,False,False
2025-03-06,11-12,3483,187543.0,6.8,3,목,False,False
2025-03-06,12-13,3567,201904.0,7.6,3,목,False,False
2025-03-06,13-14,3570,212697.0,8.6,3,목,False,False
2025-03-06,14-15,3840,224475.0,9.3,3,목,False,False
2025-03-06,15-16,4331,263013.0,9.8,3,목,False,False
2025-03-06,16-17,6064,330880.0,10.3,3,목,False,False
2025-03-06,17-18,8137,460462.0,9.6,3,목,False,False
2025-03-06,18-19,10318,598231.0,8.6,3,목,False,False
2025-03-06,19-20,6012,309377.0,7.2,3,목,False,False
2025-03-06,20-21,4628,239759.0,6.3,3,목,False,False
2025-03-06,21-22,4222,224775.0,5.6,3,목,False,False
2025-03-06,22-23,3291,171802.0,4.8,3,목,False,False
2025-03-06,23-24,2044,72608.0,3.8,3,목,False,False
2025-03-07,06-07,2483,146441.0,0.4,4,금,False,False
2025-03-07,07-08,6775,414646.0,0.1,4,금,False,False
2025-03-07,08-09,9613,492305.0,0.4,4,금,False,False
2025-03-07,09-10,4586,277681.0,3.0,4,금,False,False
2025-03-07,10-11,3172,197914.0,5.1,4,금,False,False
2025-03-07,11-12,3845,196264.0,7.4,4,금,False,False
2025-03-07,12-13,4050,214648.0,8.8,4,금,False,False
2025-03-07,13-14,4030,227687.0,10.0,4,금,False,False
2025-03-07,14-15,4339,241546.0,10.4,4,금,False,False
2025-03-07,15-16,5204,291675.0,10.7,4,금,False,False
2025-03-07,16-17,6169,352683.0,11.1,4,금,False,False
2025-03-07,17-18,8407,498980.0,9.4,4,금,False,False
2025-03-07,18-19,10446,626168.0,8.1,4,금,False,False
2025-03-07,19-20,5802,313116.0,6.9,4,금,False,False
2025-03-07,20-21,4330,232233.0,6.3,4,금,False,False
2025-03-07,21-22,3888,218979.0,5.6,4,금,False,False
2025-03-07,22-23,3573,192988.0,5.0,4,금,False,False
2025-03-07,23-24,2285,99181.0,4.7,4,금,False,False
2025-03-08,06-07,950,60823.0,3.3,5,토,True,False
2025-03-08,07-08,1670,94713.0,3.1,5,토,True,False
2025-03-08,08-09,2957,163138.0,2.8,5,토,True,False
2025-03-08,09-10,3860,196882.0,3.9,5,토,True,False
2025-03-08,10-11,4113,211889.0,5.9,5,토,True,False
2025-03-08,11-12,4666,245456.0,7.0,5,토,True,False
2025-03-08,12-13,5441,274096.0,8.7,5,토,True,False
2025-03-08,13-14,5909,292249.0,10.3,5,토,True,False
2025-03-08,14-15,6246,300904.0,10.9,5,토,True,False
2025-03-08,15-16,6648,327784.0,10.7,5,토,True,False
2025-03-08,16-17,6551,365102.0,10.1,5,토,True,False
2025-03-08,17-18,6078,343770.0,9.0,5,토,True,False
2025-03-08,18-19,5008,280432.0,7.2,5,토,True,False
2025-03-08,19-20,3770,225198.0,6.2,5,토,True,False
2025-03-08,20-21,3143,213265.0,5.6,5,토,True,False
2025-03-08,21-22,3075,191338.0,4.9,5,토,True,False
2025-03-08,22-23,2664,158184.0,4.4,5,토,True,False
2025-03-08,23-24,2027,69758.0,4.0,5,토,True,False
2025-03-09,06-07,671,41531.0,1.7,6,일,True,False
2025-03-09,07-08,1063,59616.0,1.3,6,일,True,False
2025-03-09,08-09,2021,104416.0,1.4,6,일,True,False
2025-03-09,09-10,2839,144954.0,3.7,6,일,True,False
2025-03-09,10-11,3509,161714.0,6.4,6,일,True,False
2025-03-09,11-12,4248,167476.0,8.2,6,일,True,False
2025-03-09,12-13,5180,202213.0,10.5,6,일,True,False
2025-03-09,13-14,6032,214491.0,12.1,6,일,True,False
2025-03-09,14-15,6645,217036.0,12.8,6,일,True,False
2025-03-09,15-16,7550,229990.0,13.4,6,일,True,False
2025-03-09,16-17,7818,235281.0,13.2,6,일,True,False
2025-03-09,17-18,6916,222487.0,13.3,6,일,True,False
2025-03-09,18-19,5625,196911.0,11.4,6,일,True,False
2025-03-09,19-20,4123,165863.0,9.5,6,일,True,False
2025-03-09,20-21,3514,159360.0,7.8,6,일,True,False
2025-03-09,21-22,3131,133920.0,7.1,6,일,True,False
2025-03-09,22-23,2319,96011.0,6.2,6,일,True,False
2025-03-09,23-24,1495,37324.0,5.6,6,일,True,False
2025-03-10,06-07,2653,154283.0,2.4,0,월,False,False
2025-03-10,07-08,6867,431666.0,2.4,0,월,False,False
2025-03-10,08-09,9941,506108.0,2.8,0,월,False,False
2025-03-10,09-10,4719,288458.0,5.3,0,월,False,False
2025-03-10,10-11,3229,193824.0,8.2,0,월,False,False
2025-03-10,11-12,3876,188246.0,10.8,0,월,False,False
2025-03-10,12-13,3966,198807.0,12.9,0,월,False,False
2025-03-10,13-14,3942,205594.0,13.8,0,월,False,False
2025-03-10,14-15,4233,219657.0,14.3,0,월,False,False
2025-03-10,15-16,5176,262058.0,14.8,0,월,False,False
2025-03-10,16-17,6279,313918.0,14.1,0,월,False,False
2025-03-10,17-18,9133,451023.0,13.2,0,월,False,False
2025-03-10,18-19,12100,610353.0,11.9,0,월,False,False
2025-03-10,19-20,7203,310262.0,10.1,0,월,False,False
2025-03-10,20-21,5531,232277.0,8.7,0,월,False,False
2025-03-10,21-22,4571,205316.0,7.6,0,월,False,False
2025-03-10,22-23,3746,144218.0,6.9,0,월,False,False
2025-03-10,23-24,2176,58736.0,5.9,0,월,False,False
2025-03-11,06-07,2801,152365.0,3.4,1,화,False,False
2025-03-11,07-08,7512,437976.0,2.9,1,화,False,False
